"","Y_mean_mean","Y_pred_mean","Y_mean_cred_lower","Y_mean_cred_upper","Y_pred_cred_lower","Y_pred_cred_upper","dsid","x","dfnames"
"42",88.9000924356598,87.9816134040828,56.0581928207628,124.619098307744,-188.789493253853,367.332364521172,1,140,"1Dg"
"43",88.9000924356598,89.3293334572803,56.0581928207628,124.619098307744,-185.941815805996,364.888494484336,1,140,"1Dg"
"44",89.3592388956004,89.0722489409156,56.4074073611303,125.159135385074,-188.571929704844,369.705162672952,1,141,"1Dg"
"45",89.8166521413741,91.1645449440876,56.7559881558112,125.695671784575,-190.411342673198,371.016679429496,1,142,"1Dg"
"46",89.8166521413741,90.4488651465794,56.7559881558112,125.695671784575,-190.193616934132,370.673630346006,1,142,"1Dg"
"47",90.7263215105536,87.7352791379138,57.4470744697819,126.759434699426,-196.922051458486,369.940550146716,1,144,"1Dg"
"48",91.1785986613514,90.9113575322884,57.7914792339063,127.306121742259,-187.971936739022,367.357646079684,1,145,"1Dg"
"49",91.1785986613514,90.9803183384485,57.7914792339063,127.306121742259,-191.278433150791,372.719360606364,1,145,"1Dg"
"50",93.4148214414215,92.7231103856329,59.4954914633141,129.947414620147,-187.91278277502,374.780329319723,1,150,"1Dg"
"51",95.6100247021948,94.8466818461253,61.1927216018395,132.545712782783,-184.489583324572,374.703942142074,1,155,"1Dg"
"52",96.0442504508326,97.8223662754515,61.5246220328082,133.042451655293,-180.266172829958,381.854913206386,1,156,"1Dg"
"53",96.0442504508326,96.1911426556295,61.5246220328082,133.042451655293,-184.909994364799,374.091068384758,1,156,"1Dg"
"54",96.9079630346897,96.308804244521,62.1733412152209,134.066501729442,-182.336391876541,374.612568941192,1,158,"1Dg"
"55",97.7654190620066,98.4440789793868,62.8409603671931,135.034275560317,-178.893001315867,378.991506362287,1,160,"1Dg"
"56",98.1918238229394,98.1487429549291,63.1694970212441,135.530518369674,-184.31035718288,379.806505110315,1,161,"1Dg"
"57",101.548483530275,102.340914675788,65.7802744792603,139.32087100526,-181.351634066452,383.109741307986,1,169,"1Dg"
"58",101.548483530275,100.70911785023,65.7802744792603,139.32087100526,-178.710802258709,381.767196892751,1,169,"1Dg"
"59",102.372806780958,102.976920972499,66.4302331992535,140.246667765975,-181.786443771694,383.982032701096,1,171,"1Dg"
"60",102.372806780958,102.159624235221,66.4302331992535,140.246667765975,-178.999166761241,379.35836973877,1,171,"1Dg"
"61",103.191328878427,103.955034958213,67.0844501081358,141.159230205342,-179.537059118634,379.106401811926,1,173,"1Dg"
"62",110.690128082016,110.778746135149,73.2021286170725,149.39501981139,-171.446434605286,392.811195503351,1,192,"1Dg"
"63",114.446594038533,113.403478898151,76.2997339661117,153.43253618942,-166.744097066092,396.26500233711,1,202,"1Dg"
"64",115.183007837711,115.676313684787,76.9167618749124,154.246072483199,-169.705510022292,396.420614834534,1,204,"1Dg"
"65",125.00705965828,125.003855626158,85.2477910751005,164.733814332312,-153.307565961584,407.936520666752,1,232,"1Dg"
"66",127.001287675201,126.348446847656,86.969747908835,166.831736349661,-155.854228698927,408.198414621105,1,238,"1Dg"
"67",230.283820049387,230.117862947211,197.233428713654,258.896617110015,-52.8997401638533,508.767780275887,1,828,"1Dg"
"68",236.139650912546,235.647720051067,204.622608420198,263.844129546205,-46.4752585412139,513.664468243003,1,893,"1Dg"
"69",240.520621441201,241.246502265557,210.226630972118,267.541558472934,-38.8035097782177,520.460621429247,1,946,"1Dg"
"70",241.507076710888,242.174727448539,211.523547629462,268.462861182851,-38.3699362789394,523.250340022472,1,958.5,"1Dg"
"71",252.110735575182,250.894408947056,224.833912762796,277.492269509434,-29.8309515324148,529.94324468377,1,1108,"1Dg"
"72",256.953676332424,259.853764503245,230.658902506216,281.708966264868,-20.7974631522596,541.603605948157,1,1187,"1Dg"
"73",257.649948856311,258.99239367756,231.481035226225,282.40033949837,-22.8850087577905,540.023525911403,1,1199,"1Dg"
"74",258.16574544744,258.710490677374,232.100823227125,282.841511162421,-21.9974710561088,534.783005943253,1,1208,"1Dg"
"75",260.257787952656,263.535409756578,234.549975928581,284.811139774337,-19.5231620622897,544.150813470505,1,1245.5,"1Dg"
"76",261.310626616422,262.0389093646,235.683950474357,285.688446514636,-16.2538404004394,543.14012081548,1,1265,"1Dg"
"77",261.417300959464,260.480046540549,235.806288060728,285.792068867743,-22.5371270450729,540.728258873078,1,1267,"1Dg"
"78",266.413141367228,267.091280215072,241.609006654515,290.501028398059,-11.05406478006,546.21954726053,1,1366,"1Dg"
"79",267.963295433001,266.620236629021,243.392304988188,291.942424679245,-10.1565349924806,546.868976118059,1,1399,"1Dg"
"80",268.376819105541,268.740060362868,243.865099838086,292.352489852482,-11.2084177253011,550.0663479938,1,1408,"1Dg"
"81",268.650355841016,270.329106611158,244.184092173876,292.606162759343,-12.6426359906114,548.58039856535,1,1414,"1Dg"
"82",272.806464017861,272.079481477683,248.544008027665,296.69551699381,-7.18520656202691,544.931814146006,1,1510,"1Dg"
"83",273.582779095666,275.134696774618,249.385283700835,297.479428657414,-3.65484680133523,554.329764812728,1,1529,"1Dg"
"84",274.26526273814,276.269901521556,250.014473264921,298.212831692583,-3.73806965421419,558.850894012756,1,1546,"1Dg"
"85",274.305059004015,277.913152263995,250.048596098186,298.239213256246,1.34733305504541,559.496022225052,1,1547,"1Dg"
"86",274.779626661228,273.935019222688,250.562370362579,298.734288800196,-5.45586787336927,550.393491117511,1,1559,"1Dg"
"87",274.818926702629,273.02498076764,250.603061194216,298.783304823167,-5.78438911734716,548.478097574743,1,1560,"1Dg"
"88",275.248745673857,274.385886303529,250.99018299419,299.236874350847,-2.71319841085361,555.845481438028,1,1571,"1Dg"
"89",275.750918797992,275.437364915077,251.481404561165,299.75184814591,-4.45169052211851,553.81835508608,1,1584,"1Dg"
"90",275.942414016223,276.171968876545,251.666081060054,299.986677906137,-3.87563136113186,556.04480611281,1,1589,"1Dg"
"91",276.208987315139,275.960355144367,251.932988779666,300.242315257974,-2.88276987493013,553.41173238895,1,1596,"1Dg"
"92",276.322694044381,277.274780629243,252.017292522632,300.350902648629,-2.4328831160984,553.338093934044,1,1599,"1Dg"
"93",277.035430072891,278.628282958764,252.796892999433,301.113155734381,5.74428933139718,552.549299540147,1,1618,"1Dg"
